Indicator Type,File Name,File Hash,IP,URL,Mutex,Description
URL,,,,http://212[.]129.13.110/update-request.php?profile=,,Upload file link used in sysvolinfo.exe
URL,,,,http://212[.]129.13.110/dropper.php?profile=,,C&C url used by sysvolinfo.exe
URL,,,,http://cnmilit[.]com,,Spear phishing dropper
URL,,,,http://t.ymlp50[.]com/jmyafaejshbafahshaaambmus/click.php,,Spear phishing dropper
URL,,,,mozarting[.]com,,Suspected IOC
URL,,,,blingblingg[.]com,,Suspected IOC
URL,,,,aaskmee[.]com,,Suspected IOC
URL,,,,revoltmax[.]com,,Suspected IOC
URL,,,,eyescreem[.]com,,Suspected IOC
URL,,,,outlookkz[.]com,,Suspected IOC
URL,,,,xmachinez[.]com,,Suspected IOC
URL,,,,pizzahomez[.]com,,Suspected IOC
URL,,,,newsnstat[.]com,,Suspected IOC
URL,,,,163-cn[.]org,,Suspected IOC
URL,,,,cnmilit[.]com,,Suspected IOC
URL,,,,81-cn[.]net,,Suspected IOC
URL,,,,climaxcn[.]com,,Suspected IOC
URL,,,,expatchina[.]info,,Suspected IOC
URL,,,,miltechweb[.]com,,Suspected IOC
URL,,,,nduformation[.]com,,Suspected IOC
URL,,,,securematrixx[.]com,,Suspected IOC
URL,,,,xbladezz[.]com,,Suspected IOC
URL,,,,asiandefnetwork[.]com,,Suspected IOC
URL,,,,dailychina[.]news,,Suspected IOC
URL,,,,sinodefprog[.]info,,Suspected IOC
URL,,,,qqgroups[.]info,,Suspected IOC
URL,,,,chinastrat[.]com,,Suspected IOC
URL,,,,miltechcn[.]com,,Suspected IOC
URL,,,,numeronez[.]com,,Suspected IOC
URL,,,,telemediaz[.]com,,Suspected IOC
URL,,,,majidalfuttaiim[.]com,,Suspected IOC
URL,,,,webworldreq[.]com,,Suspected IOC
URL,,,,nextraload[.]com,,Suspected IOC
URL,,,,junshiyuehui[.]com,,Suspected IOC
URL,,,,cndailynetwork[.]info,,Suspected IOC
URL,,,,extrememachine[.]org,,Suspected IOC
URL,,,,wikifedia[.]space,,Suspected IOC
URL,,,,yue-lao[.]info,,Suspected IOC
URL,,,,you-yisi[.]com,,Suspected IOC
URL,,,,annchenn[.]com,,Suspected IOC
URL,,,,office-rb-support[.]com,,Suspected IOC
URL,,,,greatdexter[.]com,,Suspected IOC
URL,,,,haiwaipengyou[.]com,,Suspected IOC
URL,,,,extremerebolt[.]com,,Suspected IOC
URL,,,,matrixrevolt[.]com,,Suspected IOC
URL,,,,info81[.]com,,Suspected IOC
URL,,,,chinastrats[.]com,,Suspected IOC
URL,,,,epg-cn[.]com,,Suspected IOC
URL,,,,nutcn[.]com,,Suspected IOC
URL,,,,modgovcn[.]com,,Suspected IOC
URL,,,,climaxcn[.]com,,Suspected IOC
URL,,,,socialfreakzz[.]com,,Suspected IOC
URL,,,,militaryworkerscn[.]com,,Suspected IOC
URL,,,,extremebolt[.]com,,Suspected IOC
URL,,,,lujunxinxi[.]com,,Suspected IOC
URL,,,,letsgetclose[.]com,,Suspected IOC
URL,,,,milresearchcn[.]com,,Suspected IOC
URL,,,,alfred.ignorelist[.]com,,Suspected IOC
URL,,,,symantecz[.]com,,Suspected IOC
URL,,,,nudtcn[.]com,,Suspected IOC
Mutex,,,,,{9754893678976458374658764387563876},Mutex used in 7zip.exe
